press,title,pub_date,url,contents
뉴스1,아차산 해맞이 인파 관리 나선 광진구,2023.01.01.,https://www.news1.kr/photos/view/?5766867,
아시아경제,[포토]김경호 광진구청장 해맞이 행사 구민 안전 행보,2023.01.01.,https://view.asiae.co.kr/article/2023010112040116163,"








아차산 일출




""이명 난청"" 잡는 ""민간요법"" 등장에..업계발칵!!!여배우 화장품 ""고혼진"" 최저가 특급이벤트 난리났다!AD

원본보기 아이콘


김경호 광진구청장, 1일 구민 안전을 위해 2023 해맞이 행사 취소 대신 아차산 등산객 안전 행보  [아시아경제 박종일 기자] 2023년 계묘년 새해를 맞아 광진구 아차산을 찾은 등산객들의 안전을 지키기 위해 김경호 구청장과 구 간부들이 나섰다. 

아차산은 서울에서 가장 먼저 해가 떠오르는 해맞이 명소로 새해 첫 일출을 감상하기 위한 사람들의 발길이 끊이지 않는다.이에 구는 많은 인파가 몰릴 것을 고려해 해맞이 행사를 취소하는 대신 모든 행정력을 동원하여 아차산 방문객을 위한 안전관리에 총력을 기울였다.이른 새벽 4시 구 간부들과 직원들은 각자 지정된 담당 구역에서 ‘안전 등불’을 환하게 밝혔다. 



구는 총 3차례의 안전대책 회의를 거쳐 지난달 28일엔 사전 현장점검을 실시해 아차산 전망대와 낙타고개 등 병목구간을 둘러보며 등·하산객 분산을 위한 시뮬레이션을 가동한 바 있다.이러한 경험을 되살려 위험 구간을 집중적으로 통제하고 무전기를 이용해 실시간으로 상황을 전파, 순찰 중 등산객들을 예의주시하며 인파가 몰렸을 땐 거리두기 협조를 구하는 등 질서 있는 관람을 유도했다.김경호 구청장도 현장을 찾아 150여 명의 행정인력과 함께 구민들의 안전을 세심히 살폈다. 방문객들에게 새해 첫인사를 건네며 건강과 안부까지 살뜰히 챙기는 모습이었다.이날은 총 32대의 CCTV가 실시간으로 작동돼 아차산관리사무소와 통합관제센터 요원들이 안전 사각지대를 꼼꼼히 점검하고, 인파 군집 시엔 CCTV 스피커를 통해 경고음을 울리기도 했다.또, 아차산생태공원 일대 차량 통행을 금지하고 불법주정차 특별 단속을 시행하며 촘촘한 안전망을 구축했다.해맞이 행사 취소로 인한 구민들의 아쉬움을 달래고자 부대행사로 토끼 조형물과 청사초롱, LED 희망의 문, 포토존을 설치해 오고 가는 이들의 시선을 사로잡았다.김경호 광진구청장은 “계묘년 새해에도 구민의 안전을 최우선으로 생각하고 바라는 일 다 이루어질 수 있도록 항상 소통하며 늘 올바르게 열심히 일하겠다”고 포부를 전했다. 




원본보기 아이콘


김미경 은평구청장, 1일 일출 명소 봉산에서 계묘년 해맞이 행사 개최은평구(구청장 김미경)가 새해 첫날인 1월1일 계묘년(癸卯年) 새해 해맞이 행사를 봉산 해맞이공원서 성황리 개최했다.계묘년 새해를 맞아 희망찬 한해를 기원하기 위해 3년 만에 열린 해맞이 행사다.올해 행사에선 봉산 해맞이공원 방면 등산로 입구에 일루미네이션 조명으로 꾸민 아치 형태 조형물 ’새해 희망의 문‘을 설치했다. 새해 앞길이 환하게 밝아지길 염원하는 마음을 담았다.해 뜨는 시간에 맞춰 드론을 띄워 새해를 맞이하고, 구민과 함께 일출을 감상하며 희망 기원 구호를 제창했다. 새해 소망을 기원하는 ’소원지 쓰기‘, 따뜻한 차와 새해 덕담을 나누는 ’차 나눔 행사‘, 새해를 축하하는 성악, 대북 타고 공연도 함께 펼쳐졌다.3년 만에 마스크 없이 열리는 이번 해맞이 행사에는 많은 인파가 찾아왔지만, 안전사고 없이 무사히 행사를 마칠 수 있었다. 앞서 구는 안전관리기본계획을 수립하고 행사장에 안전요원을 배치하는 등 안전관리에 만전을 기했다.김미경 은평구청장은 “새해 떠오르는 힘찬 태양처럼 은평구민에게도 밝은 한 해가 되길 희망한다”고 말했다. 




원본보기 아이콘


이순희 강북구청장, 1일 북서울꿈의숲서 계묘년 해맞이 행사 개최 강북구(구청장 이순희)는 1일 오전 북서울꿈의숲에서 2023년 해맞이 행사를 진행하며 시민 300여명과 함께 계묘년 새해의 희망찬 첫걸음을 시작했다.구는 전통적 경관의 재해석을 통해 옛 선조들의 풍경을 재현한 북서울꿈의숲 내 청운 단원에서 해맞이 행사를 진행했다.이날 행사는 이순희 강북구청장과 허광행 강북구 의장의 인사 말씀을 시작, 이후 강북구민 대상 수상자의 새해 기원문 낭독이 이어졌다.오전 7시 47분경 이순희 강북구청장과 시민들은 계묘년 떠오르는 첫해를 맞이하며 만세삼창을 외치고 강북구의 힘찬 출발과 안녕을 기원했다. 이후 시민들 간 새해인사와 덕담을 나누는 화합의 장이 펼쳐졌다.이순희 강북구청장은 인사 말씀에서 “추위를 뚫고 계묘년 새해를 함께 하기 위해 이 자리에 찾아 주신 구민 여러분들을 진심으로 환영한다”며 “어둠을 뚫고 떠오르는 태양처럼 강북구도 역경을 이겨내고 모든 강북구민에게 내 삶에 힘이 되는 강북이 되도록 노력하겠다”고 말했다. 




원본보기 아이콘


강남구(구청장 조성명)가 1일 삼성해맞이공원에서 계묘년 새해 해맞이 행사를 성료했다. 4년 만에 개최한 이번 행사에 구민들은 함께 카운트다운을 외치고 새해 소망을 빌며 계묘년 희망찬 일출을 맞이했다. 
박종일 기자 dream@asiae.co.kr


AD











꼭 봐야할 주요뉴스


[단독]""100억 날린 친구, 죽었을까봐 매일 전화해""...
마스크영역


""신입생들, MT 필참에 장기자랑도 준비""…요즘 대학 맞나요?
비트코인 강세로 달러 약세?…모건스탠리 ""美증시도 하락 우려""
""아이 먹이게 우유 조금만"" 요구한 부모, 카페서 거절하자 ""망하게 할 것""
""뚝배기 된장찌개 시켰는데 된장찌개서 뚝배기가 나왔어요""






<ⓒ투자가를 위한 경제콘텐츠 플랫폼, 아시아경제(www.asiae.co.kr) 무단전재 배포금지> 

"
시민일보,[2023년 신년사] 서울 광진구의장 추윤구,2023.01.01.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160263123454600,"

  존경하는 광진구민 여러분, 다사다난했던 임인년을 지나 계묘년 (癸卯年) 새해가 밝아왔습니다.지난 몇 년 간은 모든 구민이 참으로 어려웠던 시기였습니다. 지금까지 어려움을 이겨내며 극복해오신 구민여러분께 위로와 격려의 말씀을 전합니다. 어려운 시기임에도 불구하고 활발한 의정활동을 할 수 있도록 응원해주신 구민 여러분께 감사드립니다.광진구의회는 계묘년 새해에도 광진구의 발전과 구민 삶의 질 향상을 위해 노력하겠습니다.  2022년 9대 의회 개원 이후 행정사무감사, 2023년도 예산 심의 등 짧은 시간에도 구민여러분의 어려움에 조금이나마 보탬이 되고자 숨 가쁘게 달려왔습니다. 앞으로 더 공부하고 발전하며 최선의 결과를 만들어내는 광진구 의회가 되도록 노력하겠습니다.최근 지방자치법 전면 개정으로 의회의 기능과 책임이 강화되었으며, 이에 따라 구민들의 기대 또한 커졌으리라 생각합니다. 광진구의회는 항상 모든 권한이 구민으로부터 위임되었음을 잊지 않고, 구민의 대변자로서 집행부에 의견이 잘 전달될 수 있도록 최선을 다할 것을 약속드립니다.모든 예산이 헛된 곳에 쓰이지 않도록 견제·감시를 하면서도 구민들의 삶에 조금이라도 도움을 드릴 수 있는 정책에는 아낌없이 지원하며 집행부와 협조하겠습니다. 또 복지 사각지대에 놓인 이웃이 한 명도 없을 때까지 꼼꼼하게 살피며 함께 어려움을 헤쳐나가겠습니다.



 사랑하는 구민 여러분!어려움 끝에는 행복이 찾아오듯, 임인년의 어려움을 털고 계묘년에는 구민 여러분 모두 행복한 일만 가득하시기를 기원합니다. 계묘년 새해에는 어려움이 모두 해소되어 안정을 찾고 행복을 누릴 수 있는 한 해가 되시기를 기원합니다.광진구의회도 구민의 생각대로 광진의 미래를 만들며 신뢰받을 수 있도록 더욱 노력하겠습니다. 지난해 보내주신 성원에 감사드리며, 새해에도 많은 응원 부탁드립니다.새해 복 많이 받으십시오. 감사합니다.  

[저작권자ⓒ 시민일보. 무단전재-재배포 금지]
"
신아일보,광진구 초등학교 앞 과속경보시스템 확대 설치,2023.01.01.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1643763,"
관내 어린이보호구역 5개소에 과속경보시스템 추가 운영



중마초등학교. (사진=광진구)










서울시 광진구가 안전한 등하굣길 조성을 위해 관내 어린이보호구역 5개소에 과속경보시스템을 추가 설치했다고 1일 밝혔다.
과속경보시스템은 주행 차량의 속도를 실시간으로 측정하는 교통안전 시설물로, 제한 속도 초과 시 경고 표시를 띄워 운전자의 경각심을 일깨우고 감속을 유도한다.
구는 교통약자인 어린이들을 보호하고 학교 주변 교통사고를 예방하기 위해 2018년부터 초등학교 인근에 과속경보시스템을 꾸준히 설치해왔다.
올해 하반기인 9월부터 12월까지 중마초, 중광초, 용곡초, 양진초, 용마초 5곳에 확대 설치했으며, 이에 따라 광진구는 총 39대의 과속경보시스템을 작동하게 됐다.
김경호 구청장은 “어린이의 안전을 최우선으로 생각하고 교통시설물 설치와 정비에 아낌없이 지원할 것”이라며, “학생들이 안심하고 다닐 수 있는 교통환경을 만들기 위해 최선을 다하겠다”고 말했다.
구는 과속경보시스템 외에도 초등학교 통학로 등 71곳에 ‘교차로 알림이’를 설치해 좁은 골목길과 이면도로의 교통사고 발생 위험을 막고 있다.
또한 겨울철 강설로 인한 낙상 사고를 예방하고자 용곡초와 동의초 앞에 도로 열선을 설치하는 등 어린이 안전을 보완하기 위해 다각적인 노력을 기울이고 있다.
[신아일보] 서울/김두평 기자dpkim@shinailbo.co.kr
저작권자 © 신아일보 무단전재 및 재배포 금지





김두평 기자
다른기사 보기 



"
시민일보,[2023년 신년사] 서울 광진구청장 김경호,2023.01.01.,https://www.siminilbo.co.kr/news/newsview.php?ncode=1160262880456901,"

  존경하는 34만 광진구민 여러분! 계묘년(癸卯年) 새해가 밝았습니다. 지난 2022년은 우리 광진구가 ‘소통하며 발전하는 행복광진’을 비전으로 삼아 끊임없이 소통하며 변화와 발전의 밑거름을 다져 온 한해였습니다.비록 6개월이라는 짧은 시간이었지만 구정에 대한 구민 여러분의 따뜻한 관심과 적극적인 협조로 광진의 미래 발전에 한 걸음 더 다가갈 수 있었습니다. 응원해주신 구민 여러분께 진심으로 감사드립니다.광진구는 계묘년(癸卯年) 새해에도 이청득심(以聽得心)의 자세로 여러분의 크고 작은 의견에 귀 기울이며 책임 있는 자세로 구정을 이끌어가겠습니다. 모든 구민이 행복하고, 누구나 살고 싶어 하는 균형발전 도시를 만들기 위해 총력을 기울일 것입니다. 침체된 지역경제에 활력을 불어넣고 누구도 소외되지 않고 서로에게 힘이 되는 따뜻한 상생 복지를 실현하겠습니다. 또한, 풍요로운 문화예술과 여가 증진을 위한 체육시설 확충, 꿈을 키워가는 교육환경 개선으로 삶에 만족을 더하고, 구민들의 평화로운 일상을 지킬 수 있도록 더욱 안전하고 쾌적한 환경을 조성하겠습니다.



 무엇보다도 항상 열린 소통을 기반으로 구민들의 목소리를 구정에 적극 반영하여 광진의 따뜻한 변화를 이루어가겠습니다. 언제나 초심을 잃지 않고 직원 모두와 함께 늘 올바르게 열심히 일하겠습니다.2023년은 검은 토끼의 해라고 합니다. 아주 작은 소리에도 귀를 쫑긋 세우는 토끼처럼 새해에도 변함없이 구민 여러분의 작은 목소리도 놓치지 않고, 크게 듣고 새겨들으며 끊임없이 배우겠습니다. 새해에도 더 발전하는 행복 광진을 위해 따뜻한 관심과 격려로 함께 해주시길 부탁드립니다.올 한해 구민 여러분께서 소망하시는 모든 일이 이루어지시길 바라며, 가정에 기쁨과 평안이 가득하시기를 기원드립니다. 새해 복 많이 받으십시오.  

[저작권자ⓒ 시민일보. 무단전재-재배포 금지]
"
한국강사신문,"진학사·유웨이·이투스에듀, 서울대학교·연세대학교 정시모집 원서접수 결과...",2023.01.01.,https://www.lecturernews.com/news/articleView.html?idxno=115720,
데일리e스포츠,[포토] 2023시즌 유니폼 공개한 T1,2023.01.01.,http://www.dailyesports.com/view.php?ud=202301011351375563b91e133c1f_27,"
  31일 오후 서울 광진구 능동로 209 세종대학교 광개토관에서 진행 중인 T1콘에서 T1 선수들이 2023시즌 유니폼을 공개했다.김용우 기자 (kenzi@dailyesports.com)







유머 게시판








								일본 수도권의 훈훈한 무인야채가게 
							






								할머니의 비밀 
							






								죽음은 항상 가까이 있다는 것을 알려준 그 프로그램..
							






								?? : 비둘기가 얼마나 더러운지 보여주겠습니다! 
							






								해리포터가 매일 같은 옷만 입는 이유 
							






								병가 쓴 공익 
							





 "
뉴스1,'엄마 품에 안겨',2023.01.01.,https://www.news1.kr/photos/view/?5766904,
뉴스1,'즐거운 눈썰매',2023.01.01.,https://www.news1.kr/photos/view/?5766900,
뉴스1,'어른들이 더 신나',2023.01.01.,https://www.news1.kr/photos/view/?5766905,
