행정동코드,자치구,행정동명,성별,연령대,총인구,1인가구수,커뮤니케이션이 적은 집단,평일 외출이 적은 집단,휴일 외출이 적은 집단,출근소요시간 및 근무시간이 많은 집단,외출이 매우 적은 집단(전체),외출이 매우 많은 집단,동영상서비스 이용이 많은 집단,생활서비스 이용이 많은 집단,재정상태에 대한 관심집단,외출-커뮤니케이션이 모두 적은 집단(전체),년,월
1105053,광진구,화양동,1,20,2606.0,1966.01,158.41,312.74,340.37,222.43,15.13,63.64,213.65,109.67,194.18,15.0,2023,1
1105053,광진구,화양동,1,25,2974.94,2186.64,215.73,304.8,260.0,276.8,67.65,76.19,245.08,277.88,328.17,57.79,2023,1
1105053,광진구,화양동,1,30,1677.23,1185.01,111.34,170.94,147.54,96.8,11.23,76.69,110.36,152.35,156.72,29.68,2023,1
1105053,광진구,화양동,1,35,986.0,662.89,110.67,128.2,72.48,72.42,35.96,36.56,89.48,86.3,74.96,39.05,2023,1
1105053,광진구,화양동,1,40,743.6,282.83,43.15,44.28,43.98,24.05,16.85,16.09,34.41,36.0,47.92,15.02,2023,1
1105053,광진구,화양동,1,45,689.94,256.92,37.69,49.18,31.92,28.56,18.39,12.27,38.68,34.21,15.52,18.23,2023,1
1105053,광진구,화양동,1,50,695.0,159.26,30.24,31.86,18.2,21.85,34.97,5.69,27.46,25.38,25.95,23.1,2023,1
1105053,광진구,화양동,1,55,599.0,135.45,20.04,17.48,21.48,11.46,16.88,5.45,12.82,19.31,12.98,11.71,2023,1
1105053,광진구,화양동,1,60,460.37,104.82,13.1,14.51,13.66,8.28,1.62,3.55,8.81,17.55,6.07,3.2,2023,1
1105053,광진구,화양동,1,65,343.47,65.72,4.53,6.26,13.31,2.71,2.51,1.07,3.46,2.25,8.65,2.48,2023,1
1105053,광진구,화양동,1,70,208.42,43.44,8.33,9.91,0.0,3.94,2.52,0.33,6.55,3.45,1.79,2.5,2023,1
1105053,광진구,화양동,1,75,339.31,124.13,10.97,23.19,13.19,10.39,15.13,0.58,16.37,5.62,14.34,17.49,2023,1
1105053,광진구,화양동,2,20,3646.39,2840.87,135.44,310.61,433.71,227.82,10.74,100.4,149.89,141.14,162.64,10.65,2023,1
1105053,광진구,화양동,2,25,2909.54,2218.9,141.69,215.12,226.73,177.82,31.66,87.89,162.14,267.96,236.4,28.96,2023,1
1105053,광진구,화양동,2,30,1617.54,1123.76,71.49,137.85,117.14,90.79,26.53,64.62,69.23,130.89,116.36,24.1,2023,1
1105053,광진구,화양동,2,35,770.21,506.49,47.46,95.46,50.14,51.55,17.77,22.33,52.68,59.1,43.13,15.85,2023,1
1105053,광진구,화양동,2,40,571.26,214.52,18.28,38.83,23.65,19.48,10.75,10.53,22.13,28.63,39.22,13.69,2023,1
1105053,광진구,화양동,2,45,594.0,207.06,21.42,53.06,13.74,21.64,20.67,6.85,25.58,18.23,15.4,14.34,2023,1
1105053,광진구,화양동,2,50,628.52,134.47,14.94,24.95,9.46,14.9,18.56,3.78,18.66,14.13,16.97,22.07,2023,1
