,GID,A10_관내_T,A10_관외_T,A20_관내_T,A20_관외_T,A30_관내_T,A30_관외_T,A40_관내_T,A40_관외_T,A50_관내_T,A50_관외_T,A60_관내_T,A60_관외_T,외국인_A10,외국인_A20,외국인_A30,외국인_A40,외국인_A50,외국인_A60,법인_A10,법인_A20,법인_A30,법인_A40,법인_A50,법인_A60,A10_관내_WD,A10_관외_WD,A20_관내_WD,A20_관외_WD,A30_관내_WD,A30_관외_WD,A40_관내_WD,A40_관외_WD,A50_관내_WD,A50_관외_WD,A60_관내_WD,A60_관외_WD,A10_관내_HD,A10_관외_HD,A20_관내_HD,A20_관외_HD,A30_관내_HD,A30_관외_HD,A40_관내_HD,A40_관외_HD,A50_관내_HD,A50_관외_HD,A60_관내_HD,A60_관외_HD
202301,다사633494,2,4,1,1,3,1,1,4,3,4,3,3,2,3,2,2,4,1,1,1,3,2,2,2,4,4,4,3,3,3,3,2,4,2,2,2,4,2,1,1,3,4,2,3,4,1,1,4
202301,다사626517,1,2,2,4,2,1,2,4,1,2,3,1,4,3,1,3,3,2,4,4,4,3,1,4,3,3,4,2,1,3,2,3,4,1,4,1,1,4,3,1,3,4,2,2,2,2,3,4
202301,다사640506,4,2,3,2,1,1,2,1,2,2,1,2,1,3,3,1,2,3,2,3,4,2,4,3,4,1,3,4,3,4,3,3,4,1,2,2,3,1,2,4,2,1,4,3,4,4,2,3
202301,다사642512,4,4,4,1,1,3,4,2,4,4,2,2,3,2,2,3,2,1,4,3,4,2,2,1,2,1,3,3,4,3,3,4,3,3,4,3,3,3,1,1,1,2,1,4,3,4,1,1
202301,다사647489,4,2,2,2,4,3,4,1,4,4,2,1,2,2,3,3,1,3,3,4,4,2,1,2,3,2,3,2,2,2,3,3,2,4,4,3,3,3,1,4,3,3,4,3,3,4,4,4
202301,다사634493,1,1,1,3,2,2,3,3,2,4,1,3,4,3,4,2,3,3,4,2,3,2,4,4,2,1,4,4,1,3,1,2,1,1,3,1,2,1,4,3,1,1,3,4,4,3,3,4
202301,다사638512,3,1,4,2,4,4,2,1,1,3,2,2,3,1,2,1,4,2,1,1,4,1,2,4,4,3,1,2,3,3,4,3,1,4,3,1,3,3,1,1,2,2,1,2,4,4,3,2
202301,다사621498,3,2,1,1,1,4,4,1,3,2,1,1,1,4,1,3,3,3,1,1,3,2,3,1,2,2,2,4,2,4,4,4,2,4,2,1,2,3,2,1,4,2,1,1,3,4,1,2
202301,다사618486,1,2,3,2,3,4,4,3,2,2,1,3,2,3,2,1,3,1,3,3,3,3,3,4,1,4,1,4,4,4,2,2,2,3,1,1,4,2,4,4,1,2,4,1,2,3,1,4
202301,다사638480,2,2,1,1,4,1,2,3,1,2,3,2,3,4,2,3,4,1,3,2,1,2,2,1,3,2,1,1,4,3,3,2,1,1,1,2,3,1,3,2,4,1,2,2,2,4,2,4
202301,다사634513,4,1,1,2,3,3,2,2,4,2,3,1,1,3,4,1,2,4,1,3,2,4,3,3,1,2,1,1,3,4,3,3,4,2,1,1,3,1,3,1,3,2,2,3,3,4,2,4
202301,다사629478,3,4,3,3,1,1,3,1,3,2,2,4,4,1,2,3,2,4,1,1,1,3,1,2,2,2,3,3,3,1,3,2,1,2,2,1,4,1,1,2,2,3,4,2,1,2,2,3
202301,다사651493,4,3,2,3,2,2,3,3,3,4,1,3,4,4,4,4,4,1,4,2,3,1,1,1,1,4,4,2,1,4,1,2,2,1,3,1,3,1,4,3,2,3,3,3,1,4,2,4
202301,다사622499,3,3,2,3,4,3,3,1,4,1,2,1,3,2,2,1,4,2,2,3,3,3,4,4,1,3,1,1,4,3,3,1,2,1,1,4,1,1,1,3,3,2,1,1,4,1,3,3
202301,다사627495,4,3,4,2,3,1,1,2,1,2,1,3,3,3,1,4,3,1,1,1,1,2,2,3,3,1,4,2,2,1,4,2,3,4,4,2,3,2,4,2,3,2,2,2,1,2,1,3
202301,다사640491,3,4,2,2,2,4,4,1,3,2,3,2,3,3,2,4,4,4,1,2,3,1,2,4,4,3,2,3,3,3,3,2,2,2,3,4,3,3,4,2,2,2,2,4,3,3,3,1
202301,다사624478,4,3,2,4,3,1,2,2,2,4,2,3,2,2,2,1,1,4,1,4,3,2,4,2,2,1,1,2,2,4,3,4,2,2,1,4,1,2,3,2,1,4,4,3,3,1,4,4
202301,다사643505,2,1,4,2,1,2,3,3,3,2,1,1,4,3,3,4,2,1,3,2,4,3,3,3,1,4,4,3,4,1,4,4,1,1,2,4,1,1,2,1,3,2,3,2,2,3,2,2
202301,다사635523,1,3,4,4,1,3,4,1,2,1,4,3,2,2,2,2,4,4,4,4,3,2,4,4,3,3,4,4,2,2,3,4,4,4,1,4,3,2,4,3,1,2,2,2,2,2,3,1
202301,다사642507,2,4,4,1,4,4,3,3,4,3,2,1,2,4,1,2,2,2,4,4,4,4,3,3,2,4,1,1,2,3,2,3,2,4,4,2,1,3,1,1,1,1,2,2,3,1,2,2
202301,다사641487,3,3,1,2,1,1,3,4,2,2,3,4,4,4,2,4,4,4,1,2,1,3,4,3,4,4,3,1,3,2,3,3,3,4,1,1,2,2,4,2,2,2,2,3,1,2,1,1
202301,다사630505,3,4,1,3,1,4,3,1,3,2,1,4,1,2,3,4,1,4,3,3,4,2,4,4,4,1,1,2,3,2,3,3,1,2,1,1,4,4,2,4,1,4,2,3,4,4,1,3
202301,다사646491,4,2,2,4,4,2,4,3,3,1,3,4,4,4,4,2,3,4,2,2,1,1,3,2,2,3,1,4,2,1,2,3,1,2,4,3,3,1,4,4,2,1,4,1,4,4,3,1
202301,다사612484,1,3,4,1,2,3,2,2,3,3,3,1,4,3,1,3,4,2,2,2,4,1,2,3,2,3,4,4,4,2,3,4,1,3,2,2,1,4,4,3,4,2,2,3,2,1,1,3
202301,다사626509,1,2,3,4,4,4,3,2,2,2,3,2,2,3,2,3,2,2,4,3,2,2,4,4,2,3,4,3,1,1,3,1,3,1,4,2,3,2,2,3,2,4,4,3,3,2,3,1
202301,다사630520,2,3,3,1,2,4,3,3,3,1,2,1,4,3,3,2,3,1,3,4,3,1,3,4,1,3,1,2,4,3,1,2,1,4,1,4,3,4,2,3,3,1,3,4,1,4,1,1
202301,다사638502,1,2,2,3,2,4,2,2,3,3,2,4,2,1,1,2,1,2,4,2,4,3,4,2,3,2,3,1,4,4,4,4,2,4,2,3,4,4,1,2,4,1,2,4,3,3,2,1
202301,다사631515,2,4,3,1,4,2,1,2,2,3,2,2,1,4,3,3,1,1,3,4,2,4,2,3,3,4,3,4,2,1,3,3,1,2,2,4,1,1,2,1,1,2,2,3,3,1,4,4
202301,다사625484,3,3,4,4,3,2,2,1,1,1,4,2,4,1,4,1,3,3,4,2,1,4,1,1,1,3,3,2,3,2,2,2,3,3,1,4,2,2,1,1,3,2,3,3,4,4,3,3
202301,다사641500,1,2,1,1,2,2,3,3,2,3,1,1,3,4,2,2,2,2,1,4,3,3,3,2,4,4,3,1,3,1,2,1,3,1,3,2,2,2,1,1,2,4,2,1,4,4,3,3
202301,다사625512,4,1,1,2,1,1,3,3,2,2,2,2,4,2,3,4,3,1,4,3,1,1,4,3,3,4,4,3,2,1,4,3,4,4,3,2,2,4,3,4,3,1,3,3,2,1,1,3
202301,다사643514,1,2,2,2,1,4,2,4,1,1,4,3,2,2,1,2,2,4,1,4,4,4,1,3,1,3,4,3,4,4,3,4,3,4,3,3,1,1,4,1,1,2,3,4,2,1,3,2
202301,다사630523,1,1,3,3,4,1,3,4,2,4,2,1,3,4,1,4,3,2,2,3,1,1,3,2,3,1,3,4,4,2,2,1,1,3,1,1,2,1,4,1,3,1,4,2,2,1,3,4
202301,다사634504,4,4,1,4,2,4,1,2,4,1,3,1,2,3,4,1,2,2,3,4,1,1,1,3,4,4,2,4,3,2,2,2,2,4,3,3,2,3,4,2,3,2,3,1,2,3,3,1
202301,다사626514,3,1,3,3,3,4,4,3,3,3,4,2,1,1,2,2,2,4,4,1,1,3,2,1,4,1,4,3,1,3,2,2,2,2,3,1,1,2,1,3,3,1,3,1,1,4,2,2
202301,다사652498,2,2,4,2,1,1,1,2,3,4,3,4,4,4,2,4,2,1,3,2,1,1,2,1,3,2,1,1,2,3,1,1,1,2,4,3,1,1,1,3,2,4,1,1,3,2,1,4
202301,다사627512,3,4,1,2,4,3,1,4,2,4,1,3,1,4,1,2,3,4,3,1,4,3,2,3,3,4,1,4,3,1,1,1,1,4,2,4,3,,4,1,4,2,1,1,2,4,4,4
202301,다사633524,1,1,1,2,1,2,3,4,2,3,1,2,3,4,1,4,2,3,1,4,1,3,4,3,1,1,2,1,2,2,1,2,1,3,1,2,4,4,4,3,3,4,1,2,3,2,1,1
202301,다사633519,2,3,2,4,3,4,4,1,4,3,1,3,2,4,4,4,4,4,4,1,2,1,2,4,4,4,2,3,3,1,4,3,3,2,1,1,3,1,3,4,4,4,4,2,4,1,4,1
202301,다사631518,3,3,1,2,2,2,4,4,1,4,2,4,2,2,1,1,4,3,2,3,1,3,2,4,4,2,3,4,4,2,2,4,4,1,1,4,3,2,4,4,2,4,1,2,2,2,4,4
202301,다사630525,2,2,3,2,1,2,2,4,1,3,1,3,1,1,2,4,2,1,3,1,4,1,4,4,2,2,1,1,2,1,1,2,2,1,4,4,2,3,1,3,2,1,3,1,1,4,4,1
202301,다사624511,4,3,4,4,2,3,3,3,4,3,3,4,3,2,3,2,4,2,3,1,2,3,3,3,3,3,1,2,4,4,1,2,1,2,4,4,1,3,4,1,3,1,2,2,1,4,1,1
202301,다사641489,1,1,1,4,3,2,4,4,1,1,4,4,1,2,2,1,4,3,3,4,1,2,3,2,3,4,3,3,3,4,3,2,2,2,3,2,1,2,4,4,3,3,2,4,2,4,2,2
202301,다사632484,2,3,1,3,2,4,3,1,4,3,3,1,4,2,1,4,2,1,4,4,4,3,2,3,2,2,4,1,4,2,1,4,4,3,3,1,2,1,1,1,4,4,1,1,3,3,4,2
202301,다사641507,1,3,4,4,4,2,4,4,3,1,1,1,4,3,4,2,2,4,4,3,3,3,4,4,1,1,1,1,1,1,4,4,3,3,3,2,4,3,4,3,3,2,2,3,3,2,3,1
202301,다사626488,4,1,2,2,2,2,3,3,2,4,4,4,1,1,4,4,3,4,3,4,4,3,1,3,4,4,2,2,1,3,1,4,2,4,4,2,2,4,2,3,2,3,2,1,3,2,3,4
202301,다사618498,1,4,2,1,2,1,1,1,3,3,1,4,3,4,4,4,3,3,2,3,1,3,2,2,1,1,2,4,3,1,4,3,3,1,1,3,1,2,1,2,4,2,1,1,3,1,1,4
202301,다사636492,1,4,4,4,2,4,3,3,3,1,3,1,1,4,3,3,1,1,1,3,4,4,4,4,3,1,1,3,3,1,4,4,4,1,2,3,3,3,3,3,2,2,1,2,4,1,1,4
202301,다사637502,1,4,3,2,1,3,4,1,4,2,2,2,4,3,3,2,1,4,4,4,3,3,2,2,1,1,2,1,4,3,3,1,1,2,1,2,1,2,2,1,2,3,1,4,3,2,2,2
202301,다사634509,1,2,4,2,4,2,1,3,1,3,3,1,4,4,1,3,4,4,2,3,4,3,4,2,2,4,4,4,1,3,2,2,1,3,3,1,3,1,3,2,4,3,4,1,3,3,1,3
202301,다사631516,3,1,1,1,1,4,3,1,4,1,3,3,4,1,3,3,3,2,3,1,3,4,3,1,2,2,2,1,4,4,2,2,4,3,4,4,1,4,4,1,4,1,1,2,3,1,4,2
202301,다사632478,4,3,4,2,4,3,3,3,4,1,3,4,4,3,4,1,4,1,3,1,3,4,1,2,1,3,4,1,3,2,1,1,1,1,4,1,2,4,2,3,2,4,2,4,3,1,4,4
202301,다사630516,1,4,4,4,4,4,1,1,4,4,1,4,1,1,3,4,1,2,4,3,2,4,3,2,1,3,4,2,2,2,1,4,4,1,1,3,4,4,4,4,2,1,1,3,1,2,2,3
202301,다사630511,1,1,4,2,2,2,4,2,4,1,1,2,1,3,2,4,4,4,1,1,3,3,4,4,1,3,2,3,3,2,2,1,2,4,4,1,4,1,1,4,4,1,2,2,3,4,4,3
202301,다사627488,4,4,4,3,4,4,2,3,3,1,3,4,2,2,4,4,3,2,1,2,1,4,3,4,4,1,1,2,4,2,3,1,4,2,2,1,4,1,2,1,4,4,4,3,4,2,2,1
202301,다사632487,2,2,2,1,3,3,3,1,1,2,2,1,3,3,3,1,3,2,4,3,2,4,4,1,3,4,4,3,4,4,2,4,4,4,4,3,1,1,3,2,3,3,4,4,1,3,4,1
202301,다사639497,1,3,2,3,2,4,2,4,2,2,2,4,4,1,1,1,4,1,2,2,3,1,4,2,2,2,1,4,3,4,1,2,1,4,1,2,2,4,1,2,1,4,1,2,2,1,4,4
202301,다사625485,2,1,4,2,2,3,2,2,4,2,3,4,4,3,1,4,3,1,1,2,3,3,1,3,1,3,3,1,3,4,2,4,3,1,,2,4,3,2,4,2,1,4,2,4,1,3,2
202301,다사630506,3,3,3,2,4,2,4,1,4,2,1,3,1,1,4,4,1,4,3,2,2,1,4,4,2,4,1,3,4,1,4,2,2,1,3,2,3,1,1,2,3,1,3,3,2,1,1,2
202301,다사621483,3,1,2,3,3,3,4,3,2,3,1,1,1,1,3,3,1,3,4,4,1,1,4,4,2,2,2,1,4,4,4,4,1,2,2,2,2,1,1,2,4,4,4,4,3,3,4,3
202301,다사636506,4,1,2,2,1,2,4,2,3,2,2,2,2,3,3,4,1,1,1,4,2,3,4,2,3,2,1,2,3,1,2,3,4,1,3,1,2,3,1,4,2,3,3,3,3,4,2,2
202301,다사617492,4,1,2,2,3,1,2,4,1,4,4,2,1,1,2,1,1,2,3,2,3,3,4,3,2,4,3,3,2,2,2,4,1,4,2,4,4,3,1,3,4,1,3,1,4,3,1,3
202301,다사630504,2,3,3,2,1,1,4,4,1,1,4,2,1,2,4,2,4,1,3,2,3,4,2,2,3,1,1,2,4,3,4,1,4,1,1,3,2,4,4,2,1,4,4,2,4,3,3,2
202301,다사619485,3,3,1,3,1,4,1,1,1,1,2,1,3,4,4,4,2,3,2,4,1,2,1,4,1,2,2,2,1,4,3,1,4,2,4,3,1,4,2,3,1,2,3,2,1,4,4,1
202301,다사621491,2,1,3,2,4,1,2,4,1,1,1,3,3,1,1,1,4,1,3,2,2,2,2,1,2,4,1,2,1,1,2,4,2,1,2,4,4,3,3,3,1,4,2,1,3,4,4,1
202301,다사635499,3,3,2,3,2,2,4,2,3,3,3,2,4,1,2,3,1,3,3,4,1,2,1,3,1,1,1,1,3,1,4,2,4,1,4,3,3,4,1,1,2,2,2,3,3,2,2,2
202301,다사627509,3,4,1,3,2,4,1,1,3,2,4,2,1,4,2,3,3,1,3,4,3,2,2,3,1,2,3,1,3,1,2,4,4,2,1,4,3,2,1,1,3,1,2,1,3,2,3,2
202301,다사637498,4,4,4,2,1,4,1,4,2,1,1,1,2,3,1,3,2,4,4,2,2,1,2,3,2,1,2,2,1,4,3,1,3,1,4,2,4,3,1,3,4,1,1,3,3,3,1,3
202301,다사613490,1,3,3,2,3,2,1,1,3,2,3,2,2,1,4,2,1,1,1,1,4,3,2,1,3,3,4,2,1,4,4,4,3,4,3,2,4,3,2,4,3,2,4,3,2,4,1,1
202301,다사616481,4,3,1,4,3,4,3,2,4,4,3,2,2,2,3,1,4,1,1,4,2,3,2,3,2,2,4,3,2,4,1,1,4,1,3,4,3,3,4,1,4,2,2,4,4,4,3,4
202301,다사641510,3,2,4,4,4,3,2,4,3,2,3,4,4,4,1,1,4,1,3,3,4,2,2,3,1,4,4,4,3,4,4,1,4,4,2,3,4,3,1,4,3,2,1,2,4,4,3,1
202301,다사617498,1,2,3,2,2,3,3,2,4,4,1,4,1,4,1,1,4,3,1,2,4,2,2,2,1,4,3,4,1,2,2,4,4,1,4,1,1,2,3,4,2,4,2,3,3,4,2,2
202301,다사642514,4,1,4,1,3,3,,1,3,3,1,4,4,4,1,1,2,1,3,4,1,1,3,4,2,1,2,4,2,1,4,1,3,2,1,3,2,3,3,1,1,2,1,4,3,2,3,2
202301,다사636524,4,1,1,2,2,4,4,2,2,2,2,4,2,3,2,3,2,1,3,4,1,3,2,3,2,3,2,4,4,2,1,2,1,2,2,3,3,4,4,2,3,3,2,4,2,1,3,4
202301,다사627515,1,2,3,4,3,4,3,4,1,1,1,3,3,2,4,1,3,3,1,3,4,2,1,4,3,2,1,2,1,2,1,4,4,1,3,2,4,4,4,2,2,3,1,4,1,1,2,3
202301,다사626503,2,2,1,3,3,4,1,1,2,3,3,1,3,1,3,1,4,2,3,4,4,2,3,3,3,2,1,1,2,3,2,2,1,3,2,1,3,1,2,4,1,4,1,2,3,2,1,1
202301,다사629511,3,2,2,1,3,2,3,3,1,1,2,1,4,3,4,3,3,3,2,3,3,4,1,2,4,1,1,3,2,4,3,3,4,2,1,1,2,1,3,4,1,4,3,1,2,4,1,4
202301,다사633500,3,2,2,2,2,1,4,2,3,2,2,4,1,1,1,1,3,3,3,2,2,4,4,2,1,3,3,2,1,4,2,4,1,4,1,3,4,1,2,1,3,4,4,1,4,1,3,4
202301,다사627519,3,4,2,4,3,2,2,4,2,3,3,3,1,3,4,3,2,1,4,3,1,1,2,2,4,3,1,3,2,1,3,3,3,4,1,4,3,2,2,2,2,4,2,2,3,4,4,1
202301,다사638494,3,4,1,2,4,3,2,1,3,1,4,1,1,1,2,2,2,4,1,2,2,3,3,3,4,2,2,3,1,4,4,4,2,2,3,3,3,1,1,2,2,4,3,1,2,4,3,1
202301,다사647495,2,2,3,2,2,3,4,1,3,4,2,2,2,1,4,1,2,4,2,1,1,4,2,1,2,4,3,4,1,1,4,1,2,3,1,4,3,1,3,1,3,1,2,2,3,2,3,3
202301,다사638505,1,1,4,2,3,2,1,4,1,1,4,3,4,3,2,1,2,1,4,1,2,1,4,3,2,1,2,3,2,2,2,1,4,2,1,2,3,3,3,1,3,1,4,4,1,4,1,1
202301,다사622502,3,4,1,2,1,2,3,3,4,4,1,4,1,1,2,2,4,2,2,4,1,4,4,1,1,4,3,2,2,2,4,1,1,4,1,1,3,3,4,3,1,4,4,2,4,1,1,2
202301,다사633479,4,2,1,4,3,1,2,3,1,2,2,2,1,1,4,3,2,3,3,3,3,1,1,2,4,3,2,3,1,3,3,2,4,4,2,3,4,2,4,1,3,2,2,3,1,4,2,3
202301,다사627514,1,1,4,3,4,3,3,4,2,2,3,4,1,1,3,2,4,4,4,3,3,3,1,2,3,4,4,1,1,2,4,4,4,1,4,1,1,4,1,3,2,2,2,3,4,2,4,1
202301,다사637507,2,4,3,4,1,2,2,1,3,2,3,3,1,4,2,2,1,2,2,2,4,2,2,3,2,2,1,1,1,3,2,4,4,3,3,4,2,4,1,1,3,3,2,1,4,2,3,4
202301,다사628519,3,1,4,1,3,2,1,2,1,2,2,4,1,4,3,4,4,3,4,2,1,4,4,2,1,1,3,1,3,2,3,4,3,2,2,2,4,2,1,2,4,4,1,1,2,1,2,4
202301,다사631519,3,4,2,1,3,2,4,1,3,1,3,1,3,3,3,1,4,3,3,3,3,1,1,3,1,2,2,1,2,2,2,2,2,4,2,2,2,4,4,2,1,1,1,4,4,3,3,4
202301,다사644502,2,1,3,4,3,3,2,1,3,3,4,2,3,4,4,4,2,2,3,1,3,3,1,1,3,3,1,2,4,2,1,3,2,1,2,2,3,3,4,1,4,4,4,2,1,3,2,3
202301,다사633486,1,4,3,3,2,4,3,2,1,2,2,4,3,4,3,3,3,1,1,4,2,3,4,3,4,3,4,3,2,2,3,1,2,1,2,2,4,3,3,3,3,1,2,3,1,2,3,4
202301,다사628525,3,4,1,3,3,3,2,4,1,3,3,4,3,2,3,4,4,3,1,4,1,3,4,4,2,2,2,4,4,3,2,1,3,3,1,1,2,3,2,1,1,3,4,1,3,2,3,2
202301,다사639506,4,1,4,4,3,1,3,1,4,2,1,2,1,1,4,4,2,3,3,3,4,3,1,2,3,2,4,1,2,4,4,1,2,2,4,4,4,3,3,4,1,4,4,3,3,2,3,3
202301,다사619487,1,3,4,1,3,1,4,4,4,1,3,4,2,1,3,1,1,1,1,4,3,2,4,4,1,2,1,3,3,2,2,4,4,3,3,4,1,3,1,1,3,4,4,1,2,1,3,2
202301,다사633499,1,1,4,1,2,2,4,1,4,1,4,4,3,3,4,2,3,4,3,2,3,4,2,4,2,4,3,1,4,4,3,2,4,4,4,3,1,4,4,2,4,3,3,2,4,2,2,3
202301,다사629517,4,2,2,2,2,3,3,2,2,3,1,2,4,3,3,1,3,1,3,4,3,3,3,2,2,4,4,4,1,3,4,1,1,1,2,1,2,2,2,1,1,4,4,3,3,2,1,2
202301,다사635515,1,4,2,4,4,1,2,3,3,1,3,3,3,1,2,2,3,3,3,4,4,2,4,3,2,4,3,4,4,2,1,1,3,2,2,4,1,2,4,4,4,2,4,1,4,4,2,4
202301,다사629486,1,4,3,2,4,2,3,2,1,3,1,2,4,1,4,1,4,4,4,1,2,3,3,2,1,2,2,4,2,3,4,2,4,3,1,1,4,4,3,3,3,2,1,2,3,1,3,3
202301,다사634498,1,2,3,2,3,1,2,4,4,3,4,1,3,3,1,3,2,1,1,4,4,3,4,2,1,1,1,1,4,2,4,2,3,2,2,1,2,1,4,2,1,3,2,3,2,3,1,2
