DATE,GID,CUSTOMER_CLASS,CUSTOMER_ADDRESS,A10,A20,A30,A40,A50,A60,TOTAL,WD_A10,WD_A20,WD_A30,WD_A40,WD_A50,WD_A60,WD_TOTAL,HD_A10,HD_A20,HD_A30,HD_A40,HD_A50,HD_A60,HD_TOTAL
20230101,1,내국인,관내,102.26,116.11,104.02,102.83,7.64,58.7,491.56,133.68,131.98,60.73,23.55,139.71,62.44,552.1,100.69,12.56,127.39,48.13,88.99,69.54,447.31
20230101,1,내국인,관외,47.39,24.43,27.79,116.52,130.14,115.18,461.45,135.43,134.7,27.18,30.67,90.29,38.22,456.49,99.25,31.51,102.39,24.6,60.58,28.87,347.2
20230101,2,내국인,관내,126.29,37.83,124.97,119.52,18.35,139.95,566.9,139.1,126.9,101.29,127.73,44.32,71.32,610.67,73.31,10.59,12.37,8.99,50.08,89.63,244.97
20230101,2,내국인,관외,50.26,55.08,19.15,121.91,149.09,49.5,444.99,68.25,40.34,68.86,69.19,50.91,25.27,322.82,145.16,37.38,71.18,99.96,124.12,128.05,605.85
20230101,3,내국인,관내,90.52,96.42,113.83,4.43,133.89,112.82,551.91,55.87,115.78,1.64,11.82,139.26,118.59,442.96,69.91,39.05,113.27,146.6,145.65,94.89,609.37
20230101,3,내국인,관외,71.43,48.58,99.18,24.71,142.18,76.31,462.39,88.98,144.23,130.99,117.62,64.88,28.0,574.7,17.35,67.82,33.12,43.67,135.66,70.22,367.83
20230101,4,내국인,관내,104.17,50.34,122.3,79.69,126.9,32.81,516.2,96.72,57.9,100.03,112.82,65.56,2.74,435.76,113.17,84.77,40.74,41.6,47.44,9.08,336.81
20230101,4,내국인,관외,73.27,82.62,54.83,56.26,103.04,56.34,426.36,23.55,144.48,44.54,13.13,81.14,95.03,401.87,21.58,15.31,112.05,104.06,83.16,128.55,464.72
20230101,5,내국인,관내,125.4,141.23,23.82,2.04,39.04,32.15,363.66,129.47,93.58,147.59,123.95,148.44,144.38,787.42,141.74,126.87,13.74,86.23,133.01,141.81,643.39
20230101,5,내국인,관외,63.18,56.32,83.23,5.84,134.79,91.65,435.01,140.73,97.87,3.13,22.58,48.56,4.39,317.27,97.21,51.08,65.4,31.31,36.81,33.47,315.28
20230101,6,내국인,관내,14.77,35.47,54.58,1.8,53.87,34.71,195.2,41.07,16.15,95.33,130.9,69.22,119.91,472.58,24.85,63.93,72.64,124.73,20.94,131.62,438.71
20230101,6,내국인,관외,102.85,129.52,67.71,145.14,7.92,31.15,484.28,134.3,5.5,13.68,89.71,55.96,97.1,396.25,78.05,84.16,18.26,16.25,8.5,50.91,256.13
20230101,7,내국인,관내,2.39,79.57,149.71,50.84,62.85,61.41,406.77,28.17,25.7,109.85,73.16,33.11,82.3,352.29,23.02,69.63,118.09,45.49,55.11,125.88,437.22
20230101,7,내국인,관외,143.86,123.32,55.39,52.47,28.46,48.22,451.72,7.85,123.04,9.12,51.91,135.46,0.29,327.66,108.28,1.57,46.37,30.05,10.16,53.04,249.48
20230101,8,내국인,관내,101.2,139.55,132.56,7.44,27.72,47.04,455.51,105.36,121.36,107.94,135.07,74.76,112.61,657.09,135.49,36.51,28.15,86.43,67.94,30.15,384.67
20230101,8,내국인,관외,48.32,53.97,130.25,59.01,108.33,54.62,454.5,40.79,10.78,23.22,132.86,118.37,110.85,436.87,59.88,18.79,14.39,74.43,19.06,114.87,301.43
20230101,9,내국인,관내,105.21,73.62,34.76,20.4,87.41,13.82,335.23,142.74,119.56,79.18,73.72,27.85,6.26,449.31,18.62,55.09,99.41,33.77,107.69,2.34,316.92
20230101,9,내국인,관외,0.74,118.26,11.91,32.59,90.0,91.24,344.74,121.73,80.47,120.68,146.65,123.56,24.66,617.76,29.0,46.88,83.04,79.81,34.36,58.43,331.52
20230101,10,내국인,관내,126.87,30.75,67.12,114.88,79.4,99.35,518.37,82.85,5.37,109.12,30.79,26.65,57.13,311.91,36.01,117.25,31.22,136.87,115.16,149.86,586.37
20230101,10,내국인,관외,35.36,55.87,97.04,110.52,44.61,146.68,490.09,105.02,11.32,16.44,145.54,48.58,91.02,417.93,145.68,42.76,25.45,41.36,61.88,149.79,466.92
20230101,11,내국인,관내,3.23,3.53,62.0,71.06,68.01,113.74,321.56,93.75,74.91,6.96,99.27,33.8,78.26,386.96,62.88,3.15,63.6,104.59,133.17,76.81,444.19
20230101,11,내국인,관외,9.76,4.18,107.88,41.76,134.93,52.5,351.01,40.48,38.43,106.87,53.72,148.93,77.05,465.47,147.37,21.63,111.0,101.21,139.96,132.72,653.88
20230101,12,내국인,관내,100.89,50.48,51.84,60.55,105.95,132.83,502.54,62.73,63.09,98.25,108.1,72.22,140.98,545.36,59.57,76.09,108.97,9.75,19.93,1.94,276.24
20230101,12,내국인,관외,145.86,147.62,96.13,11.37,14.46,55.86,471.3,58.85,64.4,35.56,60.86,47.34,27.94,294.95,113.72,44.42,73.57,100.7,137.51,77.87,547.8
20230101,13,내국인,관내,18.63,84.22,93.78,0.1,90.9,3.32,290.95,104.12,33.93,5.99,111.7,91.76,144.71,492.22,23.8,80.26,121.76,41.54,32.73,115.17,415.25
20230101,13,내국인,관외,35.93,77.96,92.4,115.66,100.47,147.38,569.8,99.71,53.0,40.18,113.13,147.03,42.11,495.16,51.8,62.19,102.11,11.27,72.09,18.15,317.6
20230101,14,내국인,관내,108.42,9.79,78.5,26.87,143.01,37.28,403.88,7.74,102.46,39.71,110.06,14.51,136.5,410.98,132.8,66.26,104.66,8.87,34.12,7.68,354.39
20230101,14,내국인,관외,44.15,59.83,116.86,88.46,41.06,77.82,428.18,73.19,80.84,55.21,117.22,102.34,57.69,486.48,119.35,98.09,123.58,121.69,108.45,24.19,595.35
