category,press,title,pub_date,url
일간지,경향신문,"광진구 8개 전통시장, 매달 마지막주 수요일엔 ‘대청소’[서울25]",2023.12.31.,https://www.khan.co.kr/national/national-general/article/202312311438001
일간지,문화일보언론사 선정,서울 광진구서 눈길 오르던 마을버스 ‘꽈당’…행인·승객 등 7명 부상,2023.12.30.,https://www.munhwa.com/news/view.html?no=2023123001039910021002
일간지,서울신문,"광진구, 코로나19 선별진료소 운영 종료",2023.12.27.,https://www.seoul.co.kr/news/newsView.php?id=20231227500132&wlog_tag3=naver
일간지,전국매일신문,"광진구, 개청 이래 처음 종합청렴도 평가 1등급 달성",2023.12.29.,https://www.jeonmae.co.kr/news/articleView.html?idxno=1004180
일간지,국민일보언론사 선정,새해 앞두곤 눈 덮인 주말…수도권 일부 대설주의보,2023.12.30.,https://news.kmib.co.kr/article/view.asp?arcid=0019019239&code=61121611&cp=nv
일간지,문화일보언론사 선정,서울 동북·서남·서북권에 대설주의보 발효,2023.12.30.,https://www.munhwa.com/news/view.html?no=2023123001039921172007
일간지,국민일보,"서울 광진구, 매월 마지막 수요일 ‘전통시장 비우기의 날’ 운영",2023.12.29.,https://news.kmib.co.kr/article/view.asp?arcid=0019017844&code=61122011&cp=nv
일간지,국민일보,‘굿바이 코로나19 선별진료소’…1441일 만에 운영 종료,2023.12.31.,https://news.kmib.co.kr/article/view.asp?arcid=0019021076&code=61211311&cp=nv
일간지,한겨레,"광진구, 주택가 노후 보안등 542개 LED 조명으로 교체",2023.12.26.,http://www.seouland.com/arti/society/society_general/14991.html
일간지,한겨레,"광진구 광진경제허브센터, 입주 사회적경제 기업 모집",2023.12.28.,http://www.seouland.com/arti/society/society_general/15029.html
일간지,신아일보,"광진구, 아동급식 지원... 겨울방학 끼니 챙긴다",2023.12.28.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1806943
일간지,동아일보언론사 선정,성탄절 저녁 내내 모은 폐지 7900원… 주6일 주워도 손에 쥐는건 月16만원,2023.12.29.,https://www.donga.com/news/Society/article/all/20231229/122819885/1
일간지,동아일보언론사 선정,성탄절 내내 폐지 주워 7900원… 주6일 리어카 끌어도 월16만원 벌어,2023.12.28.,https://www.donga.com/news/Society/article/all/20231228/122817410/1
일간지,아시아투데이,"한강변 광진구 자양한양, 최고 40층·859가구 재건축",2023.12.21.,https://www.asiatoday.co.kr/view.php?key=20231221010013209
일간지,서울신문,"광진구, ‘2023 광진 기부 릴레이’…나눔 온도 상승",2023.12.19.,https://www.seoul.co.kr/news/newsView.php?id=20231219500117&wlog_tag3=naver
일간지,서울신문,"광진구 ‘자양제4동 도서관’, 서울 우수 도서관 선정",2023.12.22.,https://www.seoul.co.kr/news/newsView.php?id=20231222500058&wlog_tag3=naver
일간지,한겨레,"광진구, 시내버스 승강장 냉온열 의자 26곳 신설…“새벽 4시~밤 11시 운영”",2023.12.21.,http://www.seouland.com/arti/society/society_general/14920.html
일간지,서울신문,"광진구, 고사리손이 모은 사랑의 저금통으로 나눔 온도 높여요",2023.12.15.,https://www.seoul.co.kr/news/newsView.php?id=20231215500057&wlog_tag3=naver
일간지,아시아투데이,"서울 '구로·강남·광진·중랑', '청렴도' 1등…청렴 상위구 인증",2023.12.29.,https://www.asiatoday.co.kr/view.php?key=20231229010018379
일간지,내일신문,광진구 자양한양아파트 재건축 정비구역 지정 수정 가결,2023.12.22.,http://www.naeil.com/news_view/?id_art=483922
일간지,매일일보,"귀뚜라미, '2023년 장학 사업' 마무리",2023.12.27.,http://www.m-i.kr/news/articleView.html?idxno=1079361
일간지,아시아투데이,"두나무, ‘UDC 2023’ 콘텐츠 무료 공개",2023.12.26.,https://www.asiatoday.co.kr/view.php?key=20231226010015819
일간지,중앙일보,"서울 한복판 화양초, 주차장 신세로…골칫거리 폐교 358곳",2023.12.29.,https://www.joongang.co.kr/article/25218393
일간지,서울신문,"어르신의 디지털 놀이터, 광진구 ‘광진형 스마트 경로당’",2023.12.11.,https://www.seoul.co.kr/news/newsView.php?id=20231211500060&wlog_tag3=naver
일간지,신아일보,"광진구의회, 제266회 제2차 정례회 폐회…올해 회기 마무리",2023.12.21.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1804362
일간지,서울신문,용마산에서 새해 기운 듬뿍 …2024 중랑 해맞이 행사,2023.12.27.,https://www.seoul.co.kr/news/newsView.php?id=20231227500129&wlog_tag3=naver
일간지,경향신문,[역사와 현실] 하청과 방납,2023.12.27.,https://www.khan.co.kr/opinion/column/article/202312272221005
일간지,서울신문,광진구 사물인터넷 공유주차장 확대...빈 공간 활용 주차난 해소,2023.12.18.,https://www.seoul.co.kr/news/newsView.php?id=20231218500042&wlog_tag3=naver
일간지,전국매일신문,"광진구의회 김미영 의원, 지방의원 매니페스토 약속대상 '좋은조례'분야 최우...",2023.12.22.,https://www.jeonmae.co.kr/news/articleView.html?idxno=1002699
일간지,신아일보,"광진구, 주택가 노후 보안등 LED 조명으로 교체",2023.12.25.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1805261
일간지,경향신문,"“정성껏 가꾼 내 친구”···광진구, 어르신 이야기 담은 ‘반려식물 전시회...",2023.12.12.,https://www.khan.co.kr/national/national-general/article/202312121041001
일간지,신아일보,제9대 광진구의회 의정활동 사진전 개최,2023.12.18.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1802757
일간지,신아일보,"광진구, '생활 쓰레기 매일 수거제' 시행",2023.12.21.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1804184
일간지,동아일보언론사 선정,‘이세돌 기념관’ 된 대광초… 드론센터로 바뀐 직동초,2023.12.25.,https://www.donga.com/news/Society/article/all/20231224/122762733/1
일간지,한겨레,"광진구, 2024 광진 SNS 서포터즈 모집…“축제, 생활정보 등 구정 홍보”",2023.12.13.,http://www.seouland.com/arti/society/society_general/14799.html
일간지,신아일보,서울 아파트값 4주 연속↓…하락 폭은 '소폭 축소',2023.12.28.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1806983
일간지,문화일보,"광진구, 사물인터넷 공유주차장 확대 운영",2023.12.21.,https://www.munhwa.com/news/view.html?no=2023122101039927163002
일간지,매일일보,"세종사이버대, 광진구장애인단체총연합회에 농산물 기부",2023.12.19.,http://www.m-i.kr/news/articleView.html?idxno=1077214
일간지,서울신문,"“눈부신 정리로 기억 찾아요”…광진구, 치매환자 집 정리 최우수상",2023.12.08.,https://www.seoul.co.kr/news/newsView.php?id=20231208500091&wlog_tag3=naver
일간지,서울신문,"광진구, 식품위생분야 종합평가 ‘최우수구’ 선정",2023.12.14.,https://www.seoul.co.kr/news/newsView.php?id=20231214500133&wlog_tag3=naver
일간지,한겨레,"광진구, 아차산 고고학자 직업 체험 프로그램 성료",2023.12.14.,http://www.seouland.com/arti/society/society_general/14842.html
일간지,국민일보,"600만 반려인 시대, “함께 할 준비 됐습니까?”",2023.12.26.,https://news.kmib.co.kr/article/view.asp?arcid=0019007978&code=61221111&cp=nv
일간지,서울신문,광진 LED 보안등으로 범죄 막고 빛 공해 줄이고,2023.12.28.,https://www.seoul.co.kr/news/newsView.php?id=20231228012002&wlog_tag3=naver
일간지,문화일보,"NCT 텐, 첫 솔로 팬 콘서트 2월 17일 개최",2023.12.22.,https://www.munhwa.com/news/view.html?no=2023122201039912069002
일간지,동아일보,"[광진구] 맛집 메뉴, 집에서 맛본다!",2023.12.05.,https://www.donga.com/news/Society/article/all/20231204/122469066/1
일간지,국민일보,4년 만에 서울에서 만난 한중 기업인들,2023.12.20.,https://news.kmib.co.kr/article/view.asp?arcid=0018989953&code=61211211&cp=nv
일간지,국민일보,"서울 광진구, 방문주차난 해소 위해 ‘사물인터넷 공유주차장’ 확대 운영",2023.12.15.,https://news.kmib.co.kr/article/view.asp?arcid=0018975831&code=61122011&cp=nv
일간지,문화일보,"광진구, ‘악성민원대응 TF팀’ 운영…악성민원인 고발 조치",2023.12.19.,https://www.munhwa.com/news/view.html?no=2023121901039927163003
일간지,서울신문,박성연 서울시의원 “대학생 아침밥 지원 제도적 근거 마련”,2023.12.26.,https://www.seoul.co.kr/news/newsView.php?id=20231226500167&wlog_tag3=naver
일간지,내일신문,광진구 노년층 사로잡은 '청춘한마당',2023.12.06.,http://www.naeil.com/news_view/?id_art=481942
일간지,서울신문,"“주 3일? 주 6일!”… 광진, 회심의 쓰레기 수거",2023.12.25.,https://www.seoul.co.kr/news/newsView.php?id=20231225010002&wlog_tag3=naver
일간지,서울신문,"광진구, 화양초 운동장 24시간 전면 개방",2023.12.07.,https://www.seoul.co.kr/news/newsView.php?id=20231207500032&wlog_tag3=naver
일간지,동아일보,"광진구, 어르신 위한 스마트 경로당 구축",2023.12.12.,https://www.donga.com/news/Society/article/all/20231212/122581906/1
일간지,신아일보,"광진구의회, 예결특위 김상희 위원장 선출",2023.12.12.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1799717
일간지,조선일보언론사 선정,"""이 동네 반지하 살았다"" 누군가 두고간 봉투, 그 안엔 두둑한 저금통",2023.12.23.,https://www.chosun.com/national/national_general/2023/12/23/JZ5NSIRVWVEW3IWT637I6JVI5A/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
일간지,문화일보,"현대글로비스 임직원, ‘일일 산타’ 변신해 아동센터 봉사활동 나서",2023.12.22.,https://www.munhwa.com/news/view.html?no=2023122201039907024001
일간지,신아일보,"광진구, '광진형 스마트 경로당' 조성",2023.12.10.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1798604
일간지,매일일보,"세종사이버대 세종동문서당, 광진구 자원봉사자의 날 공로상 수상",2023.12.14.,http://www.m-i.kr/news/articleView.html?idxno=1075885
일간지,서울신문,"박성연 서울시의원, 대한민국시·도의회의장협의회 제14회 ‘우수의정대상’ ...",2023.12.28.,https://www.seoul.co.kr/news/newsView.php?id=20231228500108&wlog_tag3=naver
일간지,동아일보언론사 선정,韓中 기업인 대화… 4년만에 서울서 재개,2023.12.21.,https://www.donga.com/news/Economy/article/all/20231220/122719082/1
일간지,세계일보,사랑의 촛불 켠 작은 천사들,2023.12.22.,http://www.segye.com/newsView/20231222511348?OutUrl=naver
일간지,국민일보언론사 선정,이낙연 생각도 않는데…조국 “이낙연 신당 갈 일 없다”,2023.12.18.,https://news.kmib.co.kr/article/view.asp?arcid=0018980819&code=61111111&cp=nv
일간지,세계일보,[포토] 눈썰매장 개장 앞둔 뚝섬한강공원,2023.12.17.,http://www.segye.com/newsView/20231217505109?OutUrl=naver
일간지,국민일보,지역사회에 복음 빚진 자로 사명 감당,2023.12.21.,https://news.kmib.co.kr/article/view.asp?arcid=0018993771&code=61221111&cp=nv
일간지,경향신문,“소재·부품 공급망 원활화 협력”···4년 만에 만난 한·중 기업인,2023.12.20.,https://www.khan.co.kr/economy/economy-general/article/202312201337001
일간지,한겨레언론사 선정,붕어빵 할아버지 5겹 중무장…‘숏패딩·얼죽아’ 작전상 후퇴,2023.12.18.,https://www.hani.co.kr/arti/society/society_general/1120790.html
일간지,전국매일신문,"광진구-성동광진교육청, 교육 활동 지원 코디 사업 추진",2023.12.06.,https://www.jeonmae.co.kr/news/articleView.html?idxno=998755
일간지,서울신문,광진 “구정 홍보 SNS 서포터즈 모십니다”,2023.12.14.,https://www.seoul.co.kr/news/newsView.php?id=20231214010009&wlog_tag3=naver
일간지,신아일보,"광진 상공인 발전 연구회, 상공회 의견청취 3차 간담회 개최",2023.12.25.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1805252
일간지,한국일보언론사 선정,"갑자기 20도 떨어진 '북극한파'에, 시민들 ""얼굴 찢어지겠다"" 비명",2023.12.18.,https://www.hankookilbo.com/News/Read/A2023121809100001801?did=NA
일간지,신아일보,"광진구, 주차난 해소 ‘사물인터넷(IoT) 기반 공유주차장’ 확대 운영",2023.12.17.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1801647
일간지,세계일보,CU 편의점도 한파쉼터…“그냥 쉬다 가셔도 돼요” 시민들 뭉클,2023.12.22.,http://www.segye.com/newsView/20231222502530?OutUrl=naver
일간지,전국매일신문,"광진구 "" 이곳에 주차하시면 절대 안됩니다""",2023.12.05.,https://www.jeonmae.co.kr/news/articleView.html?idxno=998455
일간지,전국매일신문,"광진구의회 추윤구 의장, 마약근절 캠페인 '노 엑시트' 동참",2023.12.04.,https://www.jeonmae.co.kr/news/articleView.html?idxno=998162
일간지,한겨레,"‘하이브리드 원조’ 도요타 프리우스, 5세대 모델 국내 상륙",2023.12.13.,https://www.hani.co.kr/arti/economy/car/1120245.html
일간지,서울신문,"“치카치카, 내 입속 여행 떠나요”…광진구, 구강건강 프로그램 운영",2023.12.01.,https://www.seoul.co.kr/news/newsView.php?id=20231201500085&wlog_tag3=naver
일간지,신아일보,"광진구, 어르신 이야기 담은 반려식물 전시회 연다",2023.12.11.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1799491
일간지,한겨레,중곡3동 주민센터 앞에 몰래 두고 간 저금통과 편지 한 통,2023.12.22.,http://www.seouland.com/arti/society/society_general/14962.html
일간지,서울신문,할머니가 재밌는 이야기 해줄게...‘이야기 할머니의 날’ [포토多이슈],2023.12.14.,https://www.seoul.co.kr/news/newsView.php?id=20231214500221&wlog_tag3=naver
일간지,세계일보,[포토] '한강도 꽁꽁' 올겨울 최강 추위,2023.12.17.,http://www.segye.com/newsView/20231217505078?OutUrl=naver
일간지,전국매일신문,"광진구, 음주폐해예방사업 2년 연속 전국 1위…보건복지부장관 표창",2023.12.01.,https://www.jeonmae.co.kr/news/articleView.html?idxno=997822
일간지,세계일보,꽁꽁 언 출근길… “18일 더 추워요”,2023.12.17.,http://www.segye.com/newsView/20231217508731?OutUrl=naver
일간지,서울신문,"박성연 서울시의원, ‘2023 지방의원 매니페스토 약속대상’ 수상",2023.12.22.,https://www.seoul.co.kr/news/newsView.php?id=20231222500095&wlog_tag3=naver
일간지,서울신문,"광진, 사물인터넷 활용 공유주차장 확대",2023.12.19.,https://www.seoul.co.kr/news/newsView.php?id=20231219010007&wlog_tag3=naver
일간지,서울신문,"전병주 서울시의원, ‘학생인권조례 폐지 반대’ 조희연 교육감 1인시위 현장...",2023.12.18.,https://www.seoul.co.kr/news/newsView.php?id=20231218500121&wlog_tag3=naver
일간지,조선일보,"60년 맞은 양궁협회, 정의선 “혁신하고 사회적 역할도 할 것”",2023.12.01.,https://www.chosun.com/economy/auto/2023/12/01/TY2WLU3XNFGM7L7I2JSKSS5FCI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
일간지,국민일보,"SK네트웍스, 글로벌 AI포럼 개최",2023.12.11.,https://news.kmib.co.kr/article/view.asp?arcid=0924334173&code=11151400&cp=nv
일간지,신아일보,"광진구, 겨울방학 대학생 행정체험단 80명 모집",2023.12.05.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1796197
일간지,한겨레,"광진구, 2222번 버스 노선 연장…“‘신자초 교차로’부터 ‘자양강변길’까지...",2023.12.07.,http://www.seouland.com/arti/society/society_general/14709.html
일간지,신아일보,"광진구-성동광진교육지원청, 보조 인력 강화 업무협약",2023.12.05.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1796214
일간지,서울신문,보고 먹고 즐기는 ‘나의 광진 사용 설명서’,2023.12.05.,https://www.seoul.co.kr/news/newsView.php?id=20231205012004&wlog_tag3=naver
일간지,동아일보,유아교육기관 파견할 ‘이야기 할머니’ 수료 자축,2023.12.15.,https://www.donga.com/news/Society/article/all/20231214/122634956/1
일간지,세계일보,‘이야기할머니의 날 활동 종료식’,2023.12.14.,http://www.segye.com/newsView/20231214520985?OutUrl=naver
일간지,중앙일보,"한국 양궁 60주년…정의선 회장, ""공정·투명 원칙 아래 혁신 앞장설 것""",2023.12.01.,https://www.joongang.co.kr/article/25211668
