press,title,pub_date,url
뉴스1,"광진구, 권익위 주관 종합청렴도 2등급 달성…12년 만에 성과",2023.01.30.,https://www.news1.kr/articles/4937702
아시아경제,김경호 광진구청장 현장 중심 소통 행보 올해도 이어간다,2023.01.31.,https://view.asiae.co.kr/article/2023013106564862193
헤럴드경제,"광진구, 취약계층 난방·전기료 지원 위해 1억5800만원 추경 편성",2023.01.30.,http://news.heraldcorp.com/view.php?ud=20230130000014
시사매거진,"광진구의회, 취약계층 난방비 지원 확대 요구 간담회 개최",2023.01.31.,https://www.sisamagazine.co.kr/news/articleView.html?idxno=481310
뉴스1,"광진구, 중소기업·소상공인 최대 2억원 융자…연 1.8% 고정금리",2023.01.31.,https://www.news1.kr/articles/4938899
신아일보,"광진구, 민선8기 구민 행복지수 UP↑ 불만 DOWN↓",2023.01.31.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1655518
서울신문,"광진구, 취약계층 대상 공공요금 지원 추경 편성",2023.01.29.,https://www.seoul.co.kr/news/newsView.php?id=20230129500032&wlog_tag3=naver
이뉴스투데이,"광진구의회, 취약계층 난방비 지원 확대 요구 간담회 개최",2023.01.30.,http://www.enewstoday.co.kr/news/articleView.html?idxno=1633981
아시아경제,민선 8기 김경호 광진구청장 출범 구민 평가 좋아,2023.01.30.,https://view.asiae.co.kr/article/2023013017283646457
뉴스1,"깜깜이 진료 그만…광진구, 동물병원 진료비 게시 의무화",2023.01.27.,https://www.news1.kr/articles/4935546
뉴시스언론사 선정,설 연휴 다음날 새벽 광진구 찜질방 지하서 불…120명 대피,2023.01.23.,http://www.newsis.com/view/?id=NISX20230123_0002167579&cID=10201&pID=10200
연합뉴스,"비비지 ""뒷말하는 이들에게 통쾌한 한 방 대신 날려드려요""",2023.01.31.,https://www.yna.co.kr/view/AKR20230131148400005?input=1195m
일간스포츠,[포토] 비비지 엄지 '쉿',2023.01.31.,https://isplus.com/article/view/isp202301310135
헤럴드경제,"광진구, 위험 수목 정비 대상지 모집",2023.01.26.,http://news.heraldcorp.com/view.php?ud=20230126000011
서울신문,"광진구, 보호종료아동 임차료·자립정착금 지원",2023.01.26.,https://www.seoul.co.kr/news/newsView.php?id=20230126500199&wlog_tag3=naver
이데일리,"""이 나이에 딱"" 비비지, '풀 업'으로 야무지게 컴백[종합]",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01407126635483296
뉴시스,"비비지 ""2023년, 우리를 '각인'시켜야 하는 해죠""",2023.01.31.,http://www.newsis.com/view/?id=NISX20230131_0002176230&cID=10604&pID=10600
신아일보,"광진구, 마을강사 모집…""잠재력 끌어올려 학교로""",2023.01.30.,http://www.shinailbo.co.kr/news/articleView.html?idxno=1654951
서울경제,"비비지 은하, 살랑살랑 [SE★포토]",2023.01.31.,https://www.sedaily.com/NewsView/29KOU8EMAW
오마이뉴스,[오마이포토] 'VIVIZ' 색다른 모습,2023.01.31.,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002898927&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
뉴시스언론사 선정,서울 광진구 노룬산시장 공사장서 화재…인명피해 없어,2023.01.25.,http://www.newsis.com/view/?id=NISX20230125_0002169062&cID=10201&pID=10200
뉴스1,"광진구 ""첫돌사진 촬영비 신청하세요""…최대 10만원 지원",2023.01.26.,https://www.news1.kr/articles/4934390
헤럴드POP,"[포토]비비지, '성숙해진 매력'",2023.01.31.,http://biz.heraldcorp.com/view.php?ud=202301311620162836670_1
아시아경제,김경호 광진구청장 활짝 웃었다 ...이유?,2023.01.27.,https://view.asiae.co.kr/article/2023012717265952649
머니S,"[머니S포토] 컴백 비비지, 3人3色 치명적 매력",2023.01.31.,http://moneys.mt.co.kr/news/mwView.php?no=2023013117264210713
뉴시스,수업시간 마스크 착용은 자율,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726087
파이낸셜뉴스언론사 선정,실내 마스크 의무 착용 해제,2023.01.30.,http://www.fnnews.com/news/202301301030126796
열린뉴스통신,"광진구, '군자동 신년 사업보고회' 개최…15개 동 일정 이어나가",2023.01.30.,https://www.onews.tv/news/articleView.html?idxno=152709
국민일보언론사 선정,“35만원하던 가스요금이 70만원! 장사 너무 힘들어요”,2023.01.31.,https://news.kmib.co.kr/article/view.asp?arcid=0017914215&code=61141611&cp=nv
MBC연예,"[포토] 비비지 엄지-신비-은하, '풀 업' 미모",2023.01.31.,http://enews.imbc.com/News/RetrieveNewsInfo/372169
이데일리,"[포토]신비, 비비지 리더의 미모",2023.01.31.,http://starin.edaily.co.kr/news/newspath.asp?newsid=01371046635483296
스포츠경향,"비비지 은하 “긴 머리 변신, 이런 카리스마가?”",2023.01.31.,http://sports.khan.co.kr/news/sk_index.html?art_id=202301311643003&sec_id=540301&pt=nv
오마이뉴스,[오마이포토] 'VIVIZ' 아는 척 그만!,2023.01.31.,https://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002898935&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
경향신문언론사 선정,‘노마스크 첫날’ 학교는···“그래도 쓸 것 같아요”,2023.01.30.,https://www.khan.co.kr/national/education/article/202301301305001
이데일리언론사 선정,"[르포]학교도 마스크 해제…""친구들 얼굴 봐서 좋아요""",2023.01.30.,http://www.edaily.co.kr/news/newspath.asp?newsid=02669926635482968
뉴스1,'마스크 벗고 수업',2023.01.30.,https://www.news1.kr/photos/view/?5809684
대한경제,"한국기술사회, 광진구에 새 둥지",2023.01.26.,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202301261550477520137
MBC연예,"VIVIZ(비비지) ""나이에 딱 맞는 멋…MV로는 귀여운 복수""",2023.01.31.,http://enews.imbc.com/News/RetrieveNewsInfo/372174
연합뉴스,통학 차량은 마스크 착용 계속,2023.01.30.,https://www.yna.co.kr/view/PYH20230130014400013?input=1196m
뉴시스,실내 마스크 의무 착용 해제 수업시간 마스크 벗어요,2023.01.30.,http://www.newsis.com/view/?id=NISI20230130_0019726076
뉴스1,'마스크 해방',2023.01.30.,https://www.news1.kr/photos/view/?5809717
스포츠월드,"[SW포토]비비지,'여자친구 재결합, 조심스러워'",2023.01.31.,http://www.sportsworldi.com/newsView/20230131514486
스포츠월드,"[SW포토]비비지,'다양한 모습 보여 드리고파!'",2023.01.31.,http://www.sportsworldi.com/newsView/20230131514515
아시아경제,김경호 광진구청장 취약계층 공공요금 지원 추경 편성,2023.01.28.,https://view.asiae.co.kr/article/2023012808075490851
OSEN,"[사진]비비지 은하,'긴 머리로 이미지 변신'",2023.01.31.,http://www.osen.co.kr/article/G1112033443
YTN,"[Y현장] VIVIZ(비비지) 은하 ""긴머리로 이미지 변신...카리스마 봐주셨으면""",2023.01.31.,https://star.ytn.co.kr/_sn/0117_202301311638549702
스포츠동아,"여자친구 이젠 정말 안녕…20대 중반 비비지, 성숙미 물씬 ‘풀업’ (종합)[D...",2023.01.31.,https://sports.donga.com/article/all/20230131/117676944/1
일간스포츠,"비비지 은하 “긴 머리 도전, 카리스마 보여드리고 싶었다”",2023.01.31.,https://isplus.com/article/view/isp202301310145
S-저널,"광진구, 구청장이 직접 보고하는 '동 신년 사업보고회' 개최",2023.01.31.,https://www.s-journal.co.kr/news/articleView.html?idxno=14362
국제뉴스,"광진구, 복지상담 전담 '원스톱 복지콜센터' 운영",2023.01.25.,https://www.gukjenews.com/news/articleView.html?idxno=2641509
국제뉴스,"[GJ포토] VIVIZ(비비지), '완전 예쁜 여신 3인방'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645435
국제뉴스,"[GJ포토] 비비지 신비, '존재감 뽐내는 미모'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645530
국제뉴스,"[GJ포토] 비비지 신비, '돋보이는 신곡 무대'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645538
국제뉴스,"[GJ포토] 비비지 신비, ''베리어스 대박나라!'",2023.01.31.,https://www.gukjenews.com/news/articleView.html?idxno=2645536
